0.00001,1000,vgg16,0,0.9749999928,0.9699999905
0.00001,1000,vgg16,1,0.9699999905,0.9749999928
0.00001,1000,vgg16,2,0.9849999952,0.9949999976
0.00001,1000,vgg16,3,0.9749999928,0.9649999928
0.00001,1000,vgg16,4,0.9849999952,0.9899999976
0.00001,2000,vgg16,0,1,1
0.00001,2000,vgg16,1,0.9899999952,0.9899999952
0.00001,2000,vgg16,2,0.9749999952,0.9899999976
0.00001,2000,vgg16,3,0.9799999928,0.9749999928
0.00001,2000,vgg16,4,0.9799999928,0.9899999976
0.0001,1000,vgg16,0,0.0001,0.9749999952316284,0.9949999976158143
0.0001,1000,vgg16,1,0.0001,0.9749999928474427,0.9799999928474427
0.0001,1000,vgg16,2,0.0001,0.9649999928474426,0.9799999952316284
0.0001,1000,vgg16,3,0.0001,0.9799999976158142,0.9699999928474426
0.0001,1000,vgg16,4,0.0001,0.99,0.985
0.0001,2000,vgg16,0,0.0001,0.99,0.995
0.0001,2000,vgg16,1,0.0001,1.0,1.0
0.0001,2000,vgg16,2,0.0001,0.9899999976158143,0.9799999952316284
0.0001,2000,vgg16,3,0.0001,0.9949999976158143,1.0
0.0001,2000,vgg16,4,0.0001,0.9799999928474427,0.9849999928474427
1e-06,1000,vgg16,0,0.8950000071525573,0.8950000071525573
1e-06,1000,vgg16,1,0.9399999928474426,0.9399999928474426
1e-06,1000,vgg16,2,0.9300000047683716,0.9300000047683716
1e-06,1000,vgg16,3,0.9499999976158142,0.9499999976158142
1e-06,1000,vgg16,4,0.9150000071525574,0.9150000071525574
1e-06,2000,vgg16,0,0.9699999952316284,0.9699999952316284
1e-06,2000,vgg16,1,0.9799999904632568,0.9849999928474427
1e-06,2000,vgg16,2,0.9749999928474427,0.9749999928474427
1e-06,2000,vgg16,3,0.9849999976158142,0.9849999976158142
1e-06,2000,vgg16,4,0.9650000095367431,0.9650000095367431
