1000,vgg16,0,0.5399999988079071,0.5200000095367432
1000,vgg16,1,0.5049999952316284,0.5050000095367432
1000,vgg16,2,0.58,0.5250000071525573
1000,vgg16,3,0.5850000047683716,0.5250000071525573
1000,vgg16,4,0.6150000047683716,0.5399999976158142
2000,vgg16,0,0.6299999904632568,0.6149999976158143
2000,vgg16,1,0.6350000095367432,0.5349999928474426
2000,vgg16,2,0.6049999976158142,0.6149999976158143
2000,vgg16,3,0.5649999964237213,0.4799999928474426
2000,vgg16,4,0.6750000095367432,0.5999999904632568
1000,vgg16,0,0.5,0.5649999952316285
1000,vgg16,1,0.5,0.5
1000,vgg16,2,0.5,0.5
1000,vgg16,3,0.5,0.5
1000,vgg16,4,0.5,0.5100000002980232
